Tura;Samochody;Ciezarowki;Rowery;W_korku;Lacznie
0;11;18;21;0;50
1;10;18;18;24;46
2;10;18;18;35;46
3;10;18;17;36;45
4;10;18;17;40;45
5;10;18;17;21;45
6;10;18;17;25;45
7;10;18;17;33;45
8;10;18;17;36;45
9;10;18;17;38;45
10;10;17;17;39;44
11;10;17;17;40;44
12;10;17;17;43;44
13;10;17;17;43;44
14;10;17;17;43;44
15;10;17;17;2;44
16;10;17;17;7;44
17;10;17;15;14;42
18;10;17;15;18;42
19;10;16;15;22;41
20;10;16;15;29;41
21;10;16;15;32;41
22;10;16;15;34;41
23;10;16;15;36;41
24;10;16;15;37;41
25;10;16;15;8;41
26;10;16;15;19;41
27;10;16;15;23;41
28;10;15;15;24;40
29;10;15;15;27;40
30;10;15;15;29;40
31;10;15;15;32;40
32;10;15;15;33;40
33;10;15;15;36;40
34;10;15;15;39;40
35;10;15;15;5;40
36;10;15;15;12;40
37;10;14;15;21;39
38;10;14;15;21;39
39;10;13;15;24;38
40;10;12;15;27;37
41;10;12;15;31;37
42;10;12;15;34;37
43;10;12;15;36;37
44;10;12;15;36;37
45;10;12;15;8;37
46;10;12;15;12;37
47;10;12;15;19;37
48;10;12;15;24;37
49;10;12;15;29;37
50;10;12;15;32;37
51;10;12;15;33;37
52;10;12;15;35;37
53;10;12;15;36;37
54;10;12;15;36;37
55;10;12;15;5;37
56;10;11;15;12;36
57;10;11;15;20;36
58;10;11;15;21;36
59;10;11;15;24;36
60;10;11;15;27;36
61;10;11;15;33;36
62;10;11;15;34;36
63;10;11;15;35;36
64;10;11;15;35;36
65;10;11;15;3;36
66;9;11;15;8;35
67;9;11;14;16;34
68;9;11;14;20;34
69;9;11;14;25;34
70;9;11;14;27;34
71;8;11;14;27;33
72;8;11;14;28;33
73;8;11;14;30;33
74;8;11;14;30;33
75;8;11;14;0;33
76;8;11;14;3;33
77;8;10;14;10;32
78;8;10;14;12;32
79;7;9;14;17;30
80;7;9;14;19;30
81;7;9;14;23;30
